scenario,region,period,technology,emission type,electricity production [EJ/yr],specific emissions [gCO2eq/kWh]
ADV_WP5_Base,USA,2005,Gas|w/o CCS,direct fossil CO2 (non-CCS),3.053,440.8909269570914
ADV_WP5_Base,World,2005,Coal|w/o CCS,direct fossil CO2 (non-CCS),26.7,1018.161026231373
ADV_WP5_Base,World,2005,Gas|w/o CCS,direct fossil CO2 (non-CCS),13.7,464.8609860552365
ADV_WP5_P240_FullTech,AFR,2010,Biomass|w/o CCS,Construction,7.172e-6,2.0369238320057987
ADV_WP5_P240_FullTech,AFR,2010,Biomass|w/o CCS,Operation,7.172e-6,39.63806839655716
ADV_WP5_P240_FullTech,AFR,2010,Coal|w/o CCS,Construction,0.02566,0.22754997559225618
ADV_WP5_P240_FullTech,AFR,2010,Coal|w/o CCS,direct fossil CO2 (non-CCS),0.02566,1175.4014029618083
ADV_WP5_P240_FullTech,AFR,2010,Coal|w/o CCS,Operation,0.02566,20.389176805288898
ADV_WP5_P240_FullTech,AFR,2010,Coal|w/o CCS,upstream CH4,0.02566,64.29771770488216
ADV_WP5_P240_FullTech,AFR,2010,Gas|w/o CCS,Construction,0.1895,0.13684941035901152
ADV_WP5_P240_FullTech,AFR,2010,Gas|w/o CCS,direct fossil CO2 (non-CCS),0.1895,508.55936675461743
ADV_WP5_P240_FullTech,AFR,2010,Gas|w/o CCS,Operation,0.1895,13.311184692504938
ADV_WP5_P240_FullTech,AFR,2010,Gas|w/o CCS,upstream CH4,0.1895,80.61126585912498
ADV_WP5_P240_FullTech,AFR,2010,Nuclear,Construction,1.247e-5,1.6103238642412498
ADV_WP5_P240_FullTech,AFR,2010,Nuclear,Operation,1.247e-5,8.760982384321235
ADV_WP5_P240_FullTech,AFR,2010,Solar|PV,Construction,0.002739,28.74111126915167
ADV_WP5_P240_FullTech,AFR,2010,Solar|PV,Operation,0.002739,0.04565416563026342
ADV_WP5_P240_FullTech,AFR,2010,Wind,Construction,1.955e-4,9.805690870808917
ADV_WP5_P240_FullTech,AFR,2010,Wind,Operation,1.955e-4,0.9766151041560638
ADV_WP5_P240_FullTech,CHN,2010,Biomass|w/o CCS,Construction,0.00844,2.4295476128522155
ADV_WP5_P240_FullTech,CHN,2010,Biomass|w/o CCS,Operation,0.00844,45.34885640131933
ADV_WP5_P240_FullTech,CHN,2010,Coal|w/o CCS,Construction,9.709,0.3565088554117761
ADV_WP5_P240_FullTech,CHN,2010,Coal|w/o CCS,direct fossil CO2 (non-CCS),9.709,1000.3913894324853
ADV_WP5_P240_FullTech,CHN,2010,Coal|w/o CCS,Operation,9.709,33.540100923545054
ADV_WP5_P240_FullTech,CHN,2010,Coal|w/o CCS,upstream CH4,9.709,43.531023796494466
ADV_WP5_P240_FullTech,CHN,2010,Gas|w/o CCS,Construction,0.9974,0.21533037047955964
ADV_WP5_P240_FullTech,CHN,2010,Gas|w/o CCS,direct fossil CO2 (non-CCS),0.9974,437.0964507720072
ADV_WP5_P240_FullTech,CHN,2010,Gas|w/o CCS,Operation,0.9974,23.21448616366189
ADV_WP5_P240_FullTech,CHN,2010,Gas|w/o CCS,upstream CH4,0.9974,95.8531950223046
ADV_WP5_P240_FullTech,CHN,2010,Nuclear,Construction,0.2647,2.8096553082276476
ADV_WP5_P240_FullTech,CHN,2010,Nuclear,Operation,0.2647,12.4309226748791
ADV_WP5_P240_FullTech,CHN,2010,Solar|PV,Construction,0.005279,60.44620973554214
ADV_WP5_P240_FullTech,CHN,2010,Solar|PV,Operation,0.005279,0.0998164536821647
ADV_WP5_P240_FullTech,CHN,2010,Wind,Construction,0.3031,6.39456803303771
ADV_WP5_P240_FullTech,CHN,2010,Wind,Operation,0.3031,0.6208292895577752
ADV_WP5_P240_FullTech,EUR,2010,Biomass|w/o CCS,Construction,0.3326,2.025183239367748
ADV_WP5_P240_FullTech,EUR,2010,Biomass|w/o CCS,Operation,0.3326,39.22743035564779
ADV_WP5_P240_FullTech,EUR,2010,Coal|w/o CCS,Construction,3.004,0.224082657163921
ADV_WP5_P240_FullTech,EUR,2010,Coal|w/o CCS,direct fossil CO2 (non-CCS),3.004,797.7762982689748
